Issuer;Customer;Card;License plate No;Transactiondate;Product INV;Quantity;Gross CC;VAT;Voucher;Mileage;Corrected mileage;Additional info;Supply country;Site Town;Product DEL;Unitprice;Amount;Discount;Surcharge;VAT;Suppliercurrency;Invoice No;Invoice date;Invoiced?;VAT2010;State;Supplier;Cost 1;Cost 2;Reference No;Recordtype;Amount other;is listprice ?;Approval code;Date to;Final Trx.;LPI
710111;107248;195;BG 1007 - KX;2024-07-03 07:24:00;OMV EVRO DIZEL;42.46;8,258.47;1,376.41;00466027;181880;181880;                  ;SR;KRALJEVO;OMV EVRO DIZEL;194.500;8,258.47;0.00;0.00;1,376.41;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;8,704.30;Yes;772420;2024-07-03;1;
710111;107248;195;BG 1007 - KX;2024-07-24 13:37:00;OMV EVRO DIZEL;41.20;7,828.00;1,304.67;00479791;182660;182660;                  ;SR;KRALJEVO;OMV EVRO DIZEL;190.000;7,828.00;0.00;0.00;1,304.67;RSD;8914384142;2024-07-31;YES;NO;117;OMV-RS;;;;D;8,446.00;Yes;733720;2024-07-24;1;
710111;107248;195;BG 1007 - KX;2024-08-06 10:38:00;OMV EVRO DIZEL;42.39;7,926.93;1,321.15;00286338;183607;183607;                  ;SR;TRSTENIK;OMV EVRO DIZEL;187.000;7,926.93;0.00;0.00;1,321.15;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;8,520.40;Yes;703822;2024-08-06;1;
710111;107248;195;BG 1007 - KX;2024-08-19 10:05:00;OMV EVRO DIZEL;39.90;7,341.60;1,223.60;00496579;184405;184405;                  ;SR;KRALJEVO;OMV EVRO DIZEL;184.000;7,341.60;0.00;0.00;1,223.60;RSD;;;NO;NO;117;OMV-RS;;;;D;7,900.20;Yes;700518;2024-08-19;1;
710111;107248;393;BG 935 - NZ;2024-08-30 13:44:00;OMV EVRO DIZEL;15.38;2,783.78;463.96;00218150;259126;259126;                  ;SR;CACAK;OMV EVRO DIZEL;181.000;2,783.78;0.00;0.00;463.96;RSD;;;NO;NO;217;OMV-RS;;;;D;3,000.00;Yes;734458;2024-08-30;1;
710111;107248;393;BG 935 - NZ;2024-09-02 14:18:00;OMV EVRO DIZEL;41.21;7,994.70;;00445270;259349;259349;;SR;Lajkovac;OMV EVRO DIZEL;194.000;7,994.70;;;;RSD;;;NO;;0;OMV-RS;;;;D;0.00;;741912;2024-09-02;0;
710111;107248;393;BG 935 - NZ;2024-07-15 10:09:00;OMV EVRO DIZEL;44.86;8,702.84;1,450.47;00418226;256558;256558;                  ;SR;CELIJE;OMV EVRO DIZEL;194.000;8,702.84;0.00;0.00;1,450.47;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;9,330.90;Yes;701004;2024-07-15;1;
710111;107248;393;BG 935 - NZ;2024-07-29 12:50:00;OMV EVRO DIZEL;39.77;7,436.99;1,239.50;00426464;257358;257358;                  ;SR;CELIJE;OMV EVRO DIZEL;187.000;7,436.99;0.00;0.00;1,239.50;RSD;8914384142;2024-07-31;YES;NO;117;OMV-RS;;;;D;8,033.50;Yes;725043;2024-07-29;1;
710111;107248;393;BG 935 - NZ;2024-08-12 11:15:00;OMV EVRO DIZEL;38.24;7,036.16;1,172.69;00162235;258172;258172;                  ;SR;GORNJI MILANOVAC;OMV EVRO DIZEL;184.000;7,112.64;0.00;0.00;1,172.69;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;7,571.50;Yes;711518;2024-08-12;1;
710111;107248;120;BG 931 - IO;2024-08-05 16:08:00;OMV EVRO DIZEL;40.53;7,579.11;1,263.18;00404528;151175;151175;                  ;SR;RUMA;OMV EVRO DIZEL;187.000;7,579.11;0.00;0.00;1,263.18;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;8,146.50;Yes;760835;2024-08-05;1;
710111;107248;120;BG 931 - IO;2024-08-30 05:47:00;OMV EVRO DIZEL;39.43;7,136.83;1,189.47;00482467;152718;152718;                  ;SR;LOZNICA;OMV EVRO DIZEL;181.000;7,136.83;0.00;0.00;1,189.47;RSD;;;NO;NO;117;OMV-RS;;;;D;7,688.90;Yes;754721;2024-08-30;1;
710111;107248;120;BG 931 - IO;2024-07-10 05:52:00;OMV EVRO DIZEL;34.22;6,672.90;1,112.15;00447545;148139;148139;                  ;SR;LOZNICA;OMV EVRO DIZEL;195.000;6,672.90;0.00;0.00;1,112.15;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;7,117.80;Yes;755221;2024-07-10;1;
710111;107248;120;BG 931 - IO;2024-07-12 17:13:00;OMV EVRO DIZEL;43.27;8,437.65;1,406.27;00449246;148979;148979;                  ;SR;LOZNICA;OMV EVRO DIZEL;195.000;8,437.65;0.00;0.00;1,406.27;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;9,000.20;Yes;771417;2024-07-12;1;
710111;107248;120;BG 931 - IO;2024-07-29 05:43:00;OMV EVRO DIZEL;42.52;7,951.24;1,325.21;00460493;150135;150135;                  ;SR;LOZNICA;OMV EVRO DIZEL;187.000;7,951.24;0.00;0.00;1,325.21;RSD;8914384142;2024-07-31;YES;NO;117;OMV-RS;;;;D;8,589.00;Yes;754331;2024-07-29;1;
710111;107248;120;BG 931 - IO;2024-08-26 05:44:00;OMV EVRO DIZEL;37.52;6,791.12;1,131.85;00480096;151864;151864;                  ;SR;LOZNICA;OMV EVRO DIZEL;181.000;6,791.12;0.00;0.00;1,131.85;RSD;;;NO;NO;117;OMV-RS;;;;D;7,316.40;Yes;754436;2024-08-26;1;
